,Titles,Links,Parent Category,Sum of Characters
0,2 Builders 2 Tools,/wiki/2_Builders_2_Tools,2,21.0
1,A A Sonic Shipping,/wiki/A_A_Sonic_Shipping,A,19.0
2,Aarinfantasy,/wiki/Aarinfantasy,A,15.0
3,TheAD'sOffice,/wiki/TheAD%27sOffice,A,22.0
4,Akte X Fans,/wiki/Akte_X_Fans,A,21.0
5,Anti-ZADR-Club,/wiki/Anti-ZADR-Club,A,20.0
6,Arrows Online,/wiki/Arrows_Online,A,6.0
7,As Others See Us: Fanfic in the Media,/wiki/As_Others_See_Us:_Fanfic_in_the_Media,A,11.0
8,Assassin's Creed Sisterhood,/wiki/Assassin%27s_Creed_Sisterhood,A,22.0
9,The Balance,/wiki/The_Balance,B,13.0
10,Baraag,/wiki/Baraag,B,10.0
11,Bay City Library,/wiki/Bay_City_Library,B,22.0
12,Berries.space,/wiki/Berries.space,B,10.0
13,Beyond Atlantis Virtual Season Six,/wiki/Beyond_Atlantis_Virtual_Season_Six,B,14.0
14,Big Light Network,/wiki/Big_Light_Network,B,17.0
15,Bit of Earth,/wiki/Bit_of_Earth,B,10.0
16,Blame Taylor (Facebook group),/wiki/Blame_Taylor_(Facebook_group),B,8.0
17,Bloody Awful Poet Society,/wiki/Bloody_Awful_Poet_Society,B,
18,Brickfilming,/wiki/Brickfilming,B,
19,Bring It Fanfics,/wiki/Bring_It_Fanfics,B,
20,Buffistas.org,/wiki/Buffistas.org,B,
21,Buffyverse Music Video Database,/wiki/Buffyverse_Music_Video_Database,B,
22,C-Leapers,/wiki/C-Leapers,C,
23,Camelot Music Video Awards,/wiki/Camelot_Music_Video_Awards,C,
24,Casa de Ideas,/wiki/Casa_de_Ideas,C,
25,Celebrity Marriage Clique,/wiki/Celebrity_Marriage_Clique,C,
26,A Change of Hobbit,/wiki/A_Change_of_Hobbit,C,
27,Chaos.x-philes.com,/wiki/Chaos.x-philes.com,C,
28,Christian Angels,/wiki/Christian_Angels,C,
29,Christian Fan Fellowship,/wiki/Christian_Fan_Fellowship,C,
30,Comic Fan-Fiction Authors' Network,/wiki/Comic_Fan-Fiction_Authors%27_Network,C,
31,Corrie's Unhappy Father Todd To Be Snared,/wiki/Corrie%27s_Unhappy_Father_Todd_To_Be_Snared,C,
32,Cotton Candy (Hanson fan club),/wiki/Cotton_Candy_(Hanson_fan_club),C,
33,DailyVelCinta,/wiki/DailyVelCinta,D,
34,Dawnsisters Weyr,/wiki/Dawnsisters_Weyr,D,
35,DC-Slash,/wiki/DC-Slash,D,
36,Doctor Who Fan Orchestra,/wiki/Doctor_Who_Fan_Orchestra,D,
37,Donaldism,/wiki/Donaldism,D,
38,Doppelleben,/wiki/Doppelleben,D,
39,DSE,/wiki/DSE,D,
40,Duck Prints Press,/wiki/Duck_Prints_Press,D,
